설치장소명,시도명,시군구명,소재지도로명주소,소재지지번주소,위도,경도,세부위치,휴지통종류,관리기관명,관리기관전화번호,데이터기준일자,제공기관코드,제공기관명
클린하우스,대구광역시,남구,대구광역시 남구 두류공원로 38,대구광역시 남구 대명동 1652-1,35.84171631,128.5735748,,재활용쓰레기,대구광역시 남구청,053-664-2723,2025-08-01,3440000,대구광역시 남구
클린하우스,대구광역시,남구,대구광역시 남구 명덕로32길 30,대구광역시 남구 대명동 1827,35.85528539,128.5862415,,재활용쓰레기,대구광역시 남구청,053-664-2723,2025-08-01,3440000,대구광역시 남구
교하로425번길 7 삽다리사거리 버스정류장,경기도,파주시,경기도 파주시 교하로425번길 1,경기도 파주시 동패동 302-2,37.70563342,126.7318432,,일반쓰레기,경기도 파주시청,031-940-4734,2025-08-12,4060000,경기도 파주시
교하로425번길 10 삽다리사거리 버스정류장,경기도,파주시,,경기도 파주시 동패동 1363-4,37.70512501,126.7319539,,일반쓰레기,경기도 파주시청,031-940-4734,2025-08-12,4060000,경기도 파주시
교하로 78 산내마을9단지 버스정류장,경기도,파주시,,경기도 파주시 목동동 1150,37.72481244,126.7355358,,일반쓰레기,경기도 파주시청,031-940-4734,2025-08-12,4060000,경기도 파주시
한울로 42 한울공원 버스정류장,경기도,파주시,,경기도 파주시 동패동 1903,37.71128925,126.737337,,일반쓰레기,경기도 파주시청,031-940-4734,2025-08-12,4060000,경기도 파주시
한울로 78 한울마을3·5단지 버스정류장,경기도,파주시,,경기도 파주시 동패동 1764,37.71007189,126.7409982,,일반쓰레기,경기도 파주시청,031-940-4734,2025-08-12,4060000,경기도 파주시
한울로 81 한울마을3·5단지 버스정류장,경기도,파주시,,경기도 파주시 동패동 1756-1,37.71036444,126.7403727,,일반쓰레기,경기도 파주시청,031-940-4734,2025-08-12,4060000,경기도 파주시
와석순환로 178 한울마을2단지 버스정류장,경기도,파주시,,경기도 파주시 동패동 1833,37.71586004,126.7383055,,일반쓰레기,경기도 파주시청,031-940-4734,2025-08-12,4060000,경기도 파주시
와석순환로 132 경기인력개발원 버스정류장,경기도,파주시,,경기도 파주시 동패동 1750,37.71299273,126.7424609,,일반쓰레기,경기도 파주시청,031-940-4734,2025-08-12,4060000,경기도 파주시
와석순환로 129 경기인력개발원 버스정류장,경기도,파주시,,경기도 파주시 동패동 1750,37.71299273,126.7424609,,일반쓰레기,경기도 파주시청,031-940-4734,2025-08-12,4060000,경기도 파주시
와석순환로 364 해솔마을2·5단지 버스정류장,경기도,파주시,,경기도 파주시 목동동 676,37.72399972,126.7474984,,일반쓰레기,경기도 파주시청,031-940-4734,2025-08-12,4060000,경기도 파주시
와석순환로 359 해솔마을2·5단지 버스정류장,경기도,파주시,,경기도 파주시 목동동 676,37.72399972,126.7474984,,일반쓰레기,경기도 파주시청,031-940-4734,2025-08-12,4060000,경기도 파주시
와석순환로 263 운정고등학교 버스정류장,경기도,파주시,,경기도 파주시 목동동 1050,37.72147402,126.7371394,,일반쓰레기,경기도 파주시청,031-940-4734,2025-08-12,4060000,경기도 파주시
와석순환로 299 산내마을11단지 버스정류장,경기도,파주시,,경기도 파주시 목동동 1008,37.72524807,126.7372276,,일반쓰레기,경기도 파주시청,031-940-4734,2025-08-12,4060000,경기도 파주시
와석순환로 24 한빛마을4·8단지 버스정류장,경기도,파주시,,경기도 파주시 야당동 1019-1,37.71008898,126.7560668,,일반쓰레기,경기도 파주시청,031-940-4734,2025-08-12,4060000,경기도 파주시
와석순환로 23 한빛마을4·8단지 버스정류장,경기도,파주시,,경기도 파주시 야당동 1020,37.71103055,126.7502093,,일반쓰레기+재활용쓰,경기도 파주시청,031-940-4734,2025-08-12,4060000,경기도 파주시
와석순환로 74 한빛마을3·6단지 버스정류장,경기도,파주시,,경기도 파주시 야당동 1020,37.71103055,126.7502093,,일반쓰레기+재활용쓰,경기도 파주시청,031-940-4734,2025-08-12,4060000,경기도 파주시
와석순환로 75 한빛마을3·6단지 버스정류장,경기도,파주시,,경기도 파주시 목동동 870,37.73192514,126.7358329,,일반쓰레기+재활용쓰,경기도 파주시청,031-940-4734,2025-08-12,4060000,경기도 파주시
한빛로 11 와석초등학교 버스정류장,경기도,파주시,,경기도 파주시 야당동 998,37.7120697,126.7591269,,일반쓰레기,경기도 파주시청,031-940-4734,2025-08-12,4060000,경기도 파주시
한빛로 12 와석초등학교 버스정류장,경기도,파주시,,경기도 파주시 야당동 998,37.7120697,126.7591269,,일반쓰레기,경기도 파주시청,031-940-4734,2025-08-12,4060000,경기도 파주시
한빛로 67 한빛중학교 버스정류장,경기도,파주시,,경기도 파주시 야당동 990,37.71326307,126.7539702,,일반쓰레기,경기도 파주시청,031-940-4734,2025-08-12,4060000,경기도 파주시
청암로 35 산내마을6·8단지 버스정류장,경기도,파주시,,경기도 파주시 목동동 870,37.73192514,126.7358329,,일반쓰레기,경기도 파주시청,031-940-4734,2025-08-12,4060000,경기도 파주시
경의로 1074 야당역·한빛마을5·9단지 버스정류장,경기도,파주시,,경기도 파주시 야당동 998,37.7120697,126.7591269,,일반쓰레기,경기도 파주시청,031-940-4734,2025-08-12,4060000,경기도 파주시
경의로 1073 야당역·한빛마을5·9단지 버스정류장,경기도,파주시,,경기도 파주시 야당동 998,37.7120697,126.7591269,,일반쓰레기,경기도 파주시청,031-940-4734,2025-08-12,4060000,경기도 파주시
심학산로 580 한빛마을5단지 버스정류장,경기도,파주시,,경기도 파주시 야당동 989,37.71685622,126.7535333,,일반쓰레기,경기도 파주시청,031-940-4734,2025-08-12,4060000,경기도 파주시
심학산로 524 한빛마을1·2단지 버스정류장,경기도,파주시,,경기도 파주시 야당동 989,37.71685622,126.7535333,,일반쓰레기,경기도 파주시청,031-940-4734,2025-08-12,4060000,경기도 파주시
미래로 375 새암공원 버스정류장2,경기도,파주시,,경기도 파주시 야당동 1022-5,37.7091436,126.7464058,,일반쓰레기,경기도 파주시청,031-940-4734,2025-08-12,4060000,경기도 파주시
미래로 375 새암공원 버스정류장1,경기도,파주시,,경기도 파주시 동패동 1749,37.71223811,126.7462207,,일반쓰레기,경기도 파주시청,031-940-4734,2025-08-12,4060000,경기도 파주시
미래로 416 한빛마을1단지 버스정류장,경기도,파주시,,경기도 파주시 야당동 980,37.71225363,126.74645,,일반쓰레기,경기도 파주시청,031-940-4734,2025-08-12,4060000,경기도 파주시
미래로 413 한빛마을1단지 버스정류장,경기도,파주시,,경기도 파주시 동패동 1749,37.71223811,126.7462207,,일반쓰레기,경기도 파주시청,031-940-4734,2025-08-12,4060000,경기도 파주시
미래로 498 해솔마을6·7단지 버스정류장,경기도,파주시,,경기도 파주시 와동동 1405,37.72189881,126.7491674,,일반쓰레기,경기도 파주시청,031-940-4734,2025-08-12,4060000,경기도 파주시
지산중학교·운정행복센터 정류장,경기도,파주시,,경기도 파주시 와동동 1364,37.72635513,126.7516634,,일반쓰레기,경기도 파주시청,031-940-4734,2025-08-12,4060000,경기도 파주시
해솔마을11단지 버스정류장,경기도,파주시,,경기도 파주시 와동동 1305,37.73150741,126.7512577,,일반쓰레기,경기도 파주시청,031-940-4734,2025-08-12,4060000,경기도 파주시
운정광역보건지소 버스정류장,경기도,파주시,,경기도 파주시 목동동 645,37.72957855,126.7456089,,일반쓰레기,경기도 파주시청,031-940-4734,2025-08-12,4060000,경기도 파주시
심학산로 580 호수공원 버스정류장,경기도,파주시,,경기도 파주시 와동동 1393,37.72376034,126.7546741,,일반쓰레기,경기도 파주시청,031-940-4734,2025-08-12,4060000,경기도 파주시
소리천로 154 운정역 버스정류장,경기도,파주시,,경기도 파주시 와동동 1421,37.72417538,126.7658301,,일반쓰레기,경기도 파주시청,031-940-4734,2025-08-12,4060000,경기도 파주시
경의로 1294 6단지아파트 버스정류장,경기도,파주시,,경기도 파주시 와동동 1329,37.72609443,126.7609012,,일반쓰레기,경기도 파주시청,031-940-4734,2025-08-12,4060000,경기도 파주시
경의로 1293 4단지아파트 버스정류장,경기도,파주시,,경기도 파주시 와동동 1329,37.72609443,126.7609012,,일반쓰레기,경기도 파주시청,031-940-4734,2025-08-12,4060000,경기도 파주시
책향기로 769 2단지아파트 버스정류장(하행),경기도,파주시,,경기도 파주시 와동동 1342,37.72986083,126.7560803,,일반쓰레기,경기도 파주시청,031-940-4734,2025-08-12,4060000,경기도 파주시
책향기로 769  8단지아파트 버스정류장(상행),경기도,파주시,,경기도 파주시 와동동 1342,37.72986083,126.7560803,,일반쓰레기,경기도 파주시청,031-940-4734,2025-08-12,4060000,경기도 파주시
한국전력공사 버스정류장,경기도,파주시,경기도 파주시 금바위로 50,경기도 파주시 와동동 1378,37.72902871,126.7588583,,일반쓰레기,경기도 파주시청,031-940-4734,2025-08-12,4060000,경기도 파주시
가람마을 8단지아파트 버스정류장,경기도,파주시,,경기도 파주시 와동동 1376,37.72713251,126.7584582,,일반쓰레기,경기도 파주시청,031-940-4734,2025-08-12,4060000,경기도 파주시
11단지아파트 버스정류장,경기도,파주시,,경기도 파주시 와동동 1369-1,37.72392455,126.7545938,,일반쓰레기,경기도 파주시청,031-940-4734,2025-08-12,4060000,경기도 파주시
가람11단지아파트 소공원,경기도,파주시,,경기도 파주시 와동동 1370,37.72502177,126.7561433,,일반쓰레기,경기도 파주시청,031-940-4734,2025-08-12,4060000,경기도 파주시
전LH사업단 소공원,경기도,파주시,,경기도 파주시 동패동 1792,37.71706943,126.7377643,,일반쓰레기,경기도 파주시청,031-940-4734,2025-08-12,4060000,경기도 파주시
전LH사업단 버스정류장(하행),경기도,파주시,,경기도 파주시 동패동 1833,37.71586004,126.7383055,,일반쓰레기,경기도 파주시청,031-940-4734,2025-08-12,4060000,경기도 파주시
전LH사업단 버스정류장(상행),경기도,파주시,,경기도 파주시 동패동 1792,37.71706943,126.7377643,,일반쓰레기,경기도 파주시청,031-940-4734,2025-08-12,4060000,경기도 파주시
운정행복센타 버스정류장,경기도,파주시,경기도 파주시 와석순환로 415,경기도 파주시 와동동 1358,37.72402922,126.7513065,,일반쓰레기,경기도 파주시청,031-940-4734,2025-08-12,4060000,경기도 파주시
운정행복센타 앞 소공원,경기도,파주시,경기도 파주시 와석순환로 415,경기도 파주시 와동동 1358,37.72402922,126.7513065,,일반쓰레기,경기도 파주시청,031-940-4734,2025-08-12,4060000,경기도 파주시
가람마을 10단지아파트 버스정류장,경기도,파주시,,경기도 파주시 와동동 1364,37.72635513,126.7516634,,일반쓰레기,경기도 파주시청,031-940-4734,2025-08-12,4060000,경기도 파주시
가람마을9단지아파트 소공원,경기도,파주시,경기도 파주시 미래로 564,경기도 파주시 와동동 1344,37.72766106,126.7531214,,일반쓰레기,경기도 파주시청,031-940-4734,2025-08-12,4060000,경기도 파주시
가람마을2단지 아파트 상가,경기도,파주시,경기도 파주시 미래로 610,경기도 파주시 와동동 1303-1,37.73165607,126.7514599,,일반쓰레기,경기도 파주시청,031-940-4734,2025-08-12,4060000,경기도 파주시
가람마을1단지아파트 정류장,경기도,파주시,경기도 파주시 가람로 22,경기도 파주시 와동동 1308,37.73292356,126.7533502,,일반쓰레기,경기도 파주시청,031-940-4734,2025-08-12,4060000,경기도 파주시
가람마을 4단지아파트 버스 정류장(하행),경기도,파주시,경기도 파주시 가람로 70,경기도 파주시 와동동 1321,37.73465466,126.7583889,,일반쓰레기,경기도 파주시청,031-940-4734,2025-08-12,4060000,경기도 파주시
가람마을 4단지아파트 버스 정류장(상행),경기도,파주시,경기도 파주시 가람로 59,경기도 파주시 와동동 1553-1,37.73476235,126.7565601,,일반쓰레기+재활용쓰,경기도 파주시청,031-940-4734,2025-08-12,4060000,경기도 파주시
초롱꽃마을6단지 정류장,경기도,파주시,,경기도 파주시 동패동 2148,37.71602862,126.7144667,,일반쓰레기,경기도 파주시청,031-940-4734,2025-08-12,4060000,경기도 파주시
초롱꽃마을3단지 정류장,경기도,파주시,,경기도 파주시 동패동 2154,37.7135641,126.7078536,,일반쓰레기,경기도 파주시청,031-940-4734,2025-08-12,4060000,경기도 파주시
초롱꽃마을3단지 정류장(상가쪽),경기도,파주시,,경기도 파주시 동패동 2154,37.7135641,126.7078536,,일반쓰레기,경기도 파주시청,031-940-4734,2025-08-12,4060000,경기도 파주시
롯데아울렛 정류장(상행),경기도,파주시,,경기도 파주시 문발동 541-3,37.71586589,126.6911528,,일반쓰레기,경기도 파주시청,031-940-4734,2025-08-12,4060000,경기도 파주시
롯데아울렛 정류장(하행),경기도,파주시,,경기도 파주시 문발동 541-3,37.71586589,126.6911528,,일반쓰레기,경기도 파주시청,031-940-4734,2025-08-12,4060000,경기도 파주시
은석교사거리 정류장(하행),경기도,파주시,,경기도 파주시 문발동 541-12,37.70170543,126.686117,,일반쓰레기,경기도 파주시청,031-940-4734,2025-08-12,4060000,경기도 파주시
은석교사거리 정류장(상행),경기도,파주시,,경기도 파주시 문발동 541-12,37.70170543,126.686117,,일반쓰레기,경기도 파주시청,031-940-4734,2025-08-12,4060000,경기도 파주시
이석교사거리 정류장(상행),경기도,파주시,,경기도 파주시 문발동 541-2,37.7138612,126.6873952,,일반쓰레기,경기도 파주시청,031-940-4734,2025-08-12,4060000,경기도 파주시
이채쇼핑몰 CU,경기도,파주시,경기도 파주시 문발로 233,경기도 파주시 문발동 502-1,37.71516574,126.6875146,,일반쓰레기,경기도 파주시청,031-940-4734,2025-08-12,4060000,경기도 파주시
이채쇼핑몰 정류장(상행),경기도,파주시,,경기도 파주시 문발동 541-2,37.7138612,126.6873952,,일반쓰레기,경기도 파주시청,031-940-4734,2025-08-12,4060000,경기도 파주시
이채쇼핑몰 정류장(하행),경기도,파주시,,경기도 파주시 문발동 541-2,37.7138612,126.6873952,,일반쓰레기,경기도 파주시청,031-940-4734,2025-08-12,4060000,경기도 파주시
출판단지심학교 정류장(상행),경기도,파주시,,경기도 파주시 문발동 541-2,37.7138612,126.6873952,,일반쓰레기,경기도 파주시청,031-940-4734,2025-08-12,4060000,경기도 파주시
출판단지심학교 정류장(하행),경기도,파주시,,경기도 파주시 문발동 541-2,37.7138612,126.6873952,,일반쓰레기,경기도 파주시청,031-940-4734,2025-08-12,4060000,경기도 파주시
서패동 돌곶이꽃마을 정류장,경기도,파주시,,경기도 파주시 서패동 305-1,37.71671563,126.6957951,,일반쓰레기,경기도 파주시청,031-940-4734,2025-08-12,4060000,경기도 파주시
문발동_진골 정류장(하행),경기도,파주시,,경기도 파주시 신촌동 산 55-3,37.73072362,126.7083059,,일반쓰레기,경기도 파주시청,031-940-4734,2025-08-12,4060000,경기도 파주시
문발동_진골 정류장(상행),경기도,파주시,,경기도 파주시 신촌동 703,37.73051673,126.7082899,,일반쓰레기,경기도 파주시청,031-940-4734,2025-08-12,4060000,경기도 파주시
문발동 한성타워,경기도,파주시,,경기도 파주시 문발동 32-1,37.72867906,126.7064347,,일반쓰레기+재활용쓰,경기도 파주시청,031-940-4734,2025-08-12,4060000,경기도 파주시
문발초교 정류장(하행),경기도,파주시,,경기도 파주시 문발동 621,37.72722975,126.7089423,,일반쓰레기+재활용쓰,경기도 파주시청,031-940-4734,2025-08-12,4060000,경기도 파주시
문발초교 정류장(상행),경기도,파주시,,경기도 파주시 문발동 621,37.72722975,126.7089423,,일반쓰레기,경기도 파주시청,031-940-4734,2025-08-12,4060000,경기도 파주시
노을빛마을1_2단지 정류장(상행),경기도,파주시,,경기도 파주시 문발동 621,37.72722975,126.7089423,,일반쓰레기,경기도 파주시청,031-940-4734,2025-08-12,4060000,경기도 파주시
책향기마을12단지 후문정류장,경기도,파주시,,경기도 파주시 동패동 1745-8,37.72353613,126.7227707,,일반쓰레기+재활용쓰,경기도 파주시청,031-940-4734,2025-08-12,4060000,경기도 파주시
책향기마을14단지 정류장(하행),경기도,파주시,,경기도 파주시 동패동 1745-2,37.72181355,126.7173793,,일반쓰레기,경기도 파주시청,031-940-4734,2025-08-12,4060000,경기도 파주시
책향기마을14단지 정류장(상행),경기도,파주시,,경기도 파주시 동패동 1711-1,37.71991202,126.7190772,,일반쓰레기,경기도 파주시청,031-940-4734,2025-08-12,4060000,경기도 파주시
중앙공원정류장(하행),경기도,파주시,,경기도 파주시 동패동 1745-2,37.72181355,126.7173793,,일반쓰레기,경기도 파주시청,031-940-4734,2025-08-12,4060000,경기도 파주시
중앙공원정류장(상행),경기도,파주시,,경기도 파주시 동패동 1704-1,37.72213757,126.7175437,,일반쓰레기,경기도 파주시청,031-940-4734,2025-08-12,4060000,경기도 파주시
책향기마을10_11단지 정류장(하행),경기도,파주시,,경기도 파주시 동패동 1745-7,37.72433601,126.7201435,,일반쓰레기,경기도 파주시청,031-940-4734,2025-08-12,4060000,경기도 파주시
책향기마을10_11단지 정류장(상행),경기도,파주시,,경기도 파주시 동패동 1745-7,37.72433601,126.7201435,,일반쓰레기,경기도 파주시청,031-940-4734,2025-08-12,4060000,경기도 파주시
중심상가 택시정류장,경기도,파주시,경기도 파주시 책향기로 423,경기도 파주시 동패동 1701,37.72492304,126.7189297,,일반쓰레기,경기도 파주시청,031-940-4734,2025-08-12,4060000,경기도 파주시
숲속길마을7단지 정류장(하행),경기도,파주시,,경기도 파주시 동패동 1745-2,37.72181355,126.7173793,,일반쓰레기,경기도 파주시청,031-940-4734,2025-08-12,4060000,경기도 파주시
숲속길마을7단지 정류장(상행),경기도,파주시,,경기도 파주시 동패동 1745-2,37.72181355,126.7173793,,일반쓰레기,경기도 파주시청,031-940-4734,2025-08-12,4060000,경기도 파주시
청석마을9단지 정류장(하행),경기도,파주시,,경기도 파주시 다율동 1003,37.73204777,126.7191699,,일반쓰레기,경기도 파주시청,031-940-4734,2025-08-12,4060000,경기도 파주시
청석마을9단지 정류장(상행),경기도,파주시,,경기도 파주시 다율동 1003,37.73204777,126.7191699,,일반쓰레기,경기도 파주시청,031-940-4734,2025-08-12,4060000,경기도 파주시
청석마을8단지 정류장,경기도,파주시,,경기도 파주시 다율동 982-1,37.7331968,126.7196748,,일반쓰레기,경기도 파주시청,031-940-4734,2025-08-12,4060000,경기도 파주시
교하지구대 정류장(하행),경기도,파주시,,경기도 파주시 교하동 372-1,37.75200818,126.750513,,일반쓰레기,경기도 파주시청,031-940-4734,2025-08-12,4060000,경기도 파주시
교하지구대 정류장(상행),경기도,파주시,,경기도 파주시 교하동 372-1,37.75200818,126.750513,,일반쓰레기,경기도 파주시청,031-940-4734,2025-08-12,4060000,경기도 파주시
이마트 정류장(하행),경기도,파주시,,경기도 파주시 당하동 151-1,37.746312,126.7518564,,일반쓰레기,경기도 파주시청,031-940-4734,2025-08-12,4060000,경기도 파주시
이마트 정류장(상행),경기도,파주시,경기도 파주시 천정구로 128,경기도 파주시 당하동 306,37.74691669,126.7520788,,일반쓰레기,경기도 파주시청,031-940-4734,2025-08-12,4060000,경기도 파주시
평화로(검산삼거리정류장),경기도,파주시,,경기도 파주시 검산동 297-2,37.77478772,126.7400962,,일반쓰레기,경기도 파주시청,031-940-4734,2025-08-12,4060000,경기도 파주시
평화로(배무기버스정류장),경기도,파주시,,경기도 파주시 맥금동 1140-1,37.76975169,126.7366968,,일반쓰레기+재활용쓰,경기도 파주시청,031-940-4734,2025-08-12,4060000,경기도 파주시
평화로(맥금동종접)하행,경기도,파주시,,경기도 파주시 맥금동 1078-4,37.77237264,126.7348273,,일반쓰레기,경기도 파주시청,031-940-4734,2025-08-12,4060000,경기도 파주시
평화로(맥금동종점)상행,경기도,파주시,경기도 파주시 장터고개길 10,경기도 파주시 맥금동 110-9,37.77298229,126.7337334,,일반쓰레기,경기도 파주시청,031-940-4734,2025-08-12,4060000,경기도 파주시
평화로(유승아파트)하행,경기도,파주시,,경기도 파주시 검산동 824,37.77216198,126.7446852,,일반쓰레기,경기도 파주시청,031-940-4734,2025-08-12,4060000,경기도 파주시
평화로(유승아파트)상행,경기도,파주시,경기도 파주시 평화로 352,경기도 파주시 검산동 276-13,37.7732299,126.7437819,,일반쓰레기,경기도 파주시청,031-940-4734,2025-08-12,4060000,경기도 파주시
평화로(성원아파트)하행,경기도,파주시,경기도 파주시 평화로 307,경기도 파주시 검산동 868,37.77195119,126.7482251,,일반쓰레기,경기도 파주시청,031-940-4734,2025-08-12,4060000,경기도 파주시
평화로(성원아파트)상행,경기도,파주시,,경기도 파주시 검산동 137-3,37.77226693,126.7470001,,일반쓰레기,경기도 파주시청,031-940-4734,2025-08-12,4060000,경기도 파주시
평화로(대방아파트)하행,경기도,파주시,,경기도 파주시 야동동 692,37.77259232,126.7511982,,일반쓰레기,경기도 파주시청,031-940-4734,2025-08-12,4060000,경기도 파주시
평화로(대방아파트)상행,경기도,파주시,경기도 파주시 평화로 278,경기도 파주시 야동동 589-12,37.77318377,126.7515676,,일반쓰레기,경기도 파주시청,031-940-4734,2025-08-12,4060000,경기도 파주시
평화로(문산제일고)하행,경기도,파주시,,경기도 파주시 야동동 910,37.77041489,126.7609747,,일반쓰레기,경기도 파주시청,031-940-4734,2025-08-12,4060000,경기도 파주시
평화로(문산제일고)상행,경기도,파주시,경기도 파주시 평화로 190,경기도 파주시 야동동 361,37.77260399,126.7628873,,일반쓰레기,경기도 파주시청,031-940-4734,2025-08-12,4060000,경기도 파주시
시청로(금성빌딩 버스정류장),경기도,파주시,,경기도 파주시 금촌동 419-1,37.77098332,126.771488,,일반쓰레기,경기도 파주시청,031-940-4734,2025-08-12,4060000,경기도 파주시
시청로(금빛사랑채 버스정류장),경기도,파주시,경기도 파주시 시청로 244,경기도 파주시 금촌동 423-5,37.7713412,126.7718827,,일반쓰레기,경기도 파주시청,031-940-4734,2025-08-12,4060000,경기도 파주시
시청로(금산공원 버스정류장),경기도,파주시,경기도 파주시 송화로 13,경기도 파주시 아동동 283,37.77166848,126.7750484,,일반쓰레기,경기도 파주시청,031-940-4734,2025-08-12,4060000,경기도 파주시
시청로(동문아파트 버스정류장),경기도,파주시,경기도 파주시 정담길 90,경기도 파주시 금촌동 11-7,37.77097862,126.7742951,,일반쓰레기,경기도 파주시청,031-940-4734,2025-08-12,4060000,경기도 파주시
시청로(이마트에브리데이 버스정류장)하행,경기도,파주시,경기도 파주시 정담길 40,경기도 파주시 아동동 275-13,37.76987067,126.7777367,,일반쓰레기+재활용쓰,경기도 파주시청,031-940-4734,2025-08-12,4060000,경기도 파주시
시청로(이마트에브리데이 버스정류장)상행,경기도,파주시,경기도 파주시 시청로 190,경기도 파주시 아동동 275-6,37.77069465,126.778001,,일반쓰레기+재활용쓰,경기도 파주시청,031-940-4734,2025-08-12,4060000,경기도 파주시
쇠재로(우체국 버스정류장),경기도,파주시,경기도 파주시 새꽃로 1,경기도 파주시 금촌동 1023,37.75023227,126.7681602,,일반쓰레기,경기도 파주시청,031-940-4734,2025-08-12,4060000,경기도 파주시
쇠재로(금향초교 버스정류장),경기도,파주시,경기도 파주시 쇠재로 123,경기도 파주시 금촌동 1007,37.75259449,126.7767807,,일반쓰레기,경기도 파주시청,031-940-4734,2025-08-12,4060000,경기도 파주시
가나무로(노인복지회관 버스정류장),경기도,파주시,경기도 파주시 가나무로 130,경기도 파주시 금릉동 428,37.7538401,126.7798134,,일반쓰레기,경기도 파주시청,031-940-4734,2025-08-12,4060000,경기도 파주시
가나무로(뜨란채5단지 버스정류장),경기도,파주시,경기도 파주시 쇠재로 133,경기도 파주시 금촌동 1003,37.75326607,126.7769711,,일반쓰레기,경기도 파주시청,031-940-4734,2025-08-12,4060000,경기도 파주시
가나무로(후곡4단지 버스정류장),경기도,파주시,경기도 파주시 후곡로 50,경기도 파주시 금촌동 992,37.7532251,126.769121,,일반쓰레기+재활용쓰,경기도 파주시청,031-940-4734,2025-08-12,4060000,경기도 파주시
가나무로(주공3단지 버스정류장),경기도,파주시,경기도 파주시 새꽃로 35,경기도 파주시 금촌동 984,37.75382255,126.7679869,,일반쓰레기,경기도 파주시청,031-940-4734,2025-08-12,4060000,경기도 파주시
가나무로(금화초교 버스정류장),경기도,파주시,경기도 파주시 새꽃로 55,경기도 파주시 금촌동 974,37.75504144,126.767654,,일반쓰레기+재활용쓰,경기도 파주시청,031-940-4734,2025-08-12,4060000,경기도 파주시
후곡로(중앙하이츠 버스정류장),경기도,파주시,경기도 파주시 후곡로 80,경기도 파주시 금촌동 997,37.75043566,126.7729952,,일반쓰레기,경기도 파주시청,031-940-4734,2025-08-12,4060000,경기도 파주시
